ACC_TIME	ACC_X	ACC_Y	ACC_Z	GYRO_X	GYRO_Y	GYRO_Z
1700000000680	1959	-2185	-42	-56	-30	16
1700000000690	1946	-2186	-49	-56	-32	17
1700000000700	1938	-2195	-40	-64	-31	6
1700000000710	1953	-2185	-39	-58	-30	21
1700000000720	1944	-2175	-38	-43	-36	18
1700000000730	1952	-2188	-40	-56	-40	19
1700000000740	1966	-2188	-40	-59	-26	10
1700000000750	1948	-2185	-45	-54	-39	22
1700000000760	1955	-2187	-47	-54	-25	19
1700000000770	1949	-2187	-52	-49	-21	11
1700000000780	1956	-2187	-46	-53	-31	11
1700000000790	1956	-2183	-49	-54	-34	18
1700000000800	1961	-2197	-45	-55	-39	12
1700000000810	1945	-2188	-46	-46	-27	18
1700000000820	1950	-2182	-38	-51	-29	14
1700000000830	1947	-2192	-40	-52	-20	18
1700000000840	1952	-2187	-45	-54	-21	16
1700000000850	1943	-2184	-32	-42	-19	7
1700000000860	1957	-2184	-49	-53	-24	10
1700000000870	1964	-2191	-41	-47	-33	16
1700000000880	1963	-2177	-37	-51	-34	15
1700000000890	1960	-2190	-40	-47	-22	16
1700000000900	1962	-2182	-38	-45	-30	9
1700000000910	1967	-2185	-29	-62	-26	9
1700000000920	1956	-2185	-38	-57	-34	13
1700000000930	1964	-2185	-41	-52	-30	23
1700000000940	1958	-2183	-40	-52	-36	25
1700000000950	1960	-2189	-37	-45	-25	28
1700000000960	1960	-2195	-38	-47	-30	26
1700000000970	1962	-2189	-49	-46	-36	17
1700000000980	1959	-2181	-40	-49	-30	20
1700000000990	1950	-2185	-43	-48	-30	8
1700000001000	1972	-2191	-53	-44	-36	11
1700000001010	1958	-2178	-52	-58	-27	19
1700000001020	1962	-2183	-44	-49	-36	6
1700000001030	1954	-2179	-47	-45	-30	15
1700000001040	1964	-2184	-46	-43	-34	17
1700000001050	1966	-2188	-50	-55	-34	1
1700000001060	1960	-2176	-44	-50	-31	16
1700000001070	1964	-2192	-41	-47	-36	11
1700000001080	1959	-2186	-58	-51	-21	17
1700000001090	1964	-2181	-51	-39	-39	18
1700000001100	1966	-2187	-31	-46	-29	12
1700000001110	1960	-2184	-44	-50	-35	11
1700000001120	1954	-2181	-57	-42	-34	1
1700000001130	1954	-2185	-51	-40	-33	13
1700000001140	1965	-2196	-39	-52	-24	10
1700000001150	1954	-2183	-49	-55	-31	13
1700000001160	1960	-2177	-50	-43	-26	18
1700000001170	1954	-2182	-49	-44	-33	15
1700000001180	1958	-2193	-42	-43	-35	27
1700000001190	1946	-2184	-52	-53	-23	14
1700000001200	1955	-2186	-61	-46	-43	22
1700000001210	1969	-2184	-60	-52	-43	15
1700000001220	1959	-2180	-59	-37	-29	17
1700000001230	1964	-2183	-51	-49	-30	9
1700000001240	1953	-2190	-56	-53	-37	13
1700000001250	1966	-2189	-47	-50	-28	19
1700000001260	1966	-2188	-60	-34	-31	16
1700000001270	1957	-2191	-50	-49	-39	9
1700000001280	1958	-2180	-34	-43	-27	9
1700000001290	1964	-2185	-57	-39	-35	6
1700000001300	1952	-2183	-50	-51	-32	15
1700000001310	1957	-2190	-42	-42	-31	7
1700000001320	1964	-2190	-56	-57	-18	18
1700000001330	1962	-2183	-48	-41	-33	3
1700000001340	1968	-2175	-54	-40	-32	7
1700000001350	1957	-2177	-56	-38	-32	9
1700000001360	1943	-2189	-60	-48	-28	6
1700000001370	1960	-2189	-63	-40	-30	16
1700000001380	1957	-2189	-62	-53	-33	9
1700000001390	1961	-2181	-52	-49	-31	8
1700000001400	1954	-2193	-63	-63	-31	7
1700000001410	1952	-2190	-50	-37	-14	2
1700000001420	1956	-2189	-50	-48	-27	11
1700000001430	1967	-2188	-53	-45	-28	2
1700000001440	1957	-2188	-57	-55	-37	9
1700000001450	1948	-2177	-68	-52	-34	10
1700000001460	1951	-2185	-57	-57	-29	9
1700000001470	1957	-2197	-65	-50	-37	23
1700000001480	1965	-2182	-63	-46	-18	10
1700000001490	1965	-2185	-57	-41	-22	13
1700000001500	1954	-2184	-59	-43	-36	7
1700000001510	1949	-2175	-52	-59	-38	11
1700000001520	1951	-2187	-54	-46	-27	0
1700000001530	1951	-2193	-52	-49	-31	-2
1700000001540	1950	-2188	-69	-48	-23	18
1700000001550	1948	-2189	-53	-51	-31	16
1700000001560	1953	-2199	-68	-52	-41	5
1700000001570	1961	-2179	-51	-47	-26	0
1700000001580	1942	-2199	-59	-48	-35	7
1700000001590	1953	-2193	-61	-55	-31	13
1700000001600	1967	-2187	-62	-38	-24	1
1700000001610	1955	-2200	-49	-52	-39	8
1700000001620	1944	-2188	-64	-51	-37	2
1700000001630	1957	-2190	-63	-49	-35	-4
1700000001640	1946	-2195	-60	-52	-37	20
1700000001650	1961	-2191	-67	-45	-32	4
1700000001660	1962	-2198	-80	-46	-28	12
1700000001670	1954	-2195	-63	-49	-50	4
1700000001680	1967	-2192	-74	-52	-32	8
1700000001690	1936	-2193	-62	-52	-27	2
1700000001700	1964	-2182	-66	-52	-30	10
1700000001710	1946	-2195	-62	-47	-37	16
1700000001720	1968	-2196	-69	-43	-30	4
1700000001730	1947	-2191	-67	-53	-25	-4
1700000001740	1947	-2194	-69	-54	-35	2
1700000001750	1957	-2196	-69	-45	-39	1
1700000001760	1937	-2189	-71	-50	-22	8
1700000001770	1946	-2197	-69	-39	-39	2
1700000001780	1942	-2206	-68	-51	-34	-1
1700000001790	1957	-2209	-69	-45	-31	4
1700000001800	1946	-2193	-64	-47	-46	6
1700000001810	1949	-2200	-65	-43	-26	-1
1700000001820	1947	-2196	-73	-50	-39	0
1700000001830	1954	-2204	-66	-58	-28	3
1700000001840	1937	-2190	-66	-49	-27	7
1700000001850	1945	-2196	-68	-46	-31	1
1700000001860	1945	-2199	-64	-48	-32	-2
1700000001870	1952	-2195	-69	-55	-35	13
1700000001880	1949	-2199	-69	-50	-22	-4
1700000001890	1947	-2198	-79	-48	-26	5
1700000001900	1951	-2199	-66	-49	-30	10
1700000001910	1944	-2206	-62	-51	-21	-2
1700000001920	1941	-2201	-75	-55	-36	-2
1700000001930	1947	-2195	-75	-54	-43	14
1700000001940	1949	-2197	-70	-44	-26	5
1700000001950	1938	-2194	-70	-42	-41	-3
1700000001960	1939	-2205	-67	-47	-36	5
1700000001970	1944	-2196	-74	-52	-21	4
1700000001980	1952	-2204	-80	-57	-38	-4
1700000001990	1939	-2202	-74	-65	-33	2
1700000002000	1939	-2199	-77	-53	-38	6
1700000002010	1936	-2195	-77	-40	-33	3
1700000002020	1943	-2206	-84	-45	-32	1
1700000002030	1939	-2197	-76	-50	-36	5
1700000002040	1940	-2210	-71	-63	-30	4
1700000002050	1942	-2196	-88	-60	-40	-4
1700000002060	1943	-2191	-84	-52	-29	7
1700000002070	1935	-2207	-75	-61	-17	1
1700000002080	1938	-2205	-68	-64	-41	7
1700000002090	1940	-2209	-86	-58	-34	7
1700000002100	1937	-2206	-84	-50	-37	-4
1700000002110	1939	-2203	-87	-53	-32	0
1700000002120	1945	-2200	-87	-61	-27	-2
1700000002130	1937	-2199	-90	-52	-36	1
1700000002140	1938	-2210	-86	-51	-33	-4
1700000002150	1923	-2200	-90	-60	-49	-5
1700000002160	1946	-2203	-83	-63	-34	-2
1700000002170	1930	-2196	-79	-56	-39	6
1700000002180	1930	-2219	-79	-52	-30	-9
1700000002190	1931	-2205	-83	-55	-39	2
1700000002200	1934	-2206	-77	-51	-34	-3
1700000002210	1934	-2202	-96	-64	-33	-5
1700000002220	1934	-2215	-83	-53	-24	1
1700000002230	1928	-2208	-88	-58	-34	-6
1700000002240	1923	-2217	-89	-57	-36	-19
1700000002250	1935	-2207	-93	-47	-30	-6
1700000002260	1933	-2213	-91	-57	-35	11
1700000002270	1925	-2211	-91	-64	-32	2
1700000002280	1920	-2203	-93	-68	-40	4
1700000002290	1926	-2207	-77	-56	-37	8
1700000002300	1918	-2210	-94	-53	-27	3
1700000002310	1938	-2210	-98	-56	-34	-4
1700000002320	1927	-2217	-94	-50	-27	-7
1700000002330	1920	-2210	-95	-51	-37	11
1700000002340	1921	-2203	-97	-58	-38	-1
1700000002350	1925	-2218	-91	-61	-28	-3
1700000002360	1918	-2216	-93	-64	-40	8
1700000002370	1930	-2216	-95	-60	-42	0
1700000002380	1914	-2223	-99	-61	-29	0
1700000002390	1921	-2213	-84	-68	-42	1
1700000002400	1923	-2212	-97	-50	-24	0
1700000002410	1922	-2221	-96	-60	-46	-9
1700000002420	1924	-2218	-91	-60	-27	0
1700000002430	1915	-2217	-95	-59	-45	-5
1700000002440	1920	-2214	-97	-59	-28	-12
1700000002450	1921	-2221	-108	-62	-34	-5
1700000002460	1922	-2230	-94	-69	-38	-5
1700000002470	1919	-2222	-96	-65	-34	-2
1700000002480	1913	-2224	-95	-61	-36	-4
1700000002490	1919	-2214	-111	-58	-37	3
1700000002500	1913	-2214	-105	-73	-40	-3
1700000002510	1913	-2211	-93	-62	-31	-8
1700000002520	1917	-2220	-106	-56	-38	3
1700000002530	1903	-2226	-101	-57	-35	-5
1700000002540	1908	-2216	-98	-59	-35	0
1700000002550	1908	-2226	-116	-67	-43	-10
1700000002560	1921	-2220	-102	-67	-36	-11
1700000002570	1911	-2236	-114	-61	-40	-7
1700000002580	1919	-2225	-110	-65	-37	-9
1700000002590	1904	-2230	-106	-60	-46	-16
1700000002600	1906	-2223	-100	-57	-40	-13
1700000002610	1910	-2231	-114	-66	-41	-8
1700000002620	1911	-2217	-99	-60	-30	-4
1700000002630	1896	-2229	-101	-63	-41	-18
1700000002640	1906	-2229	-109	-71	-42	-4
1700000002650	1904	-2216	-114	-64	-40	-7
1700000002660	1909	-2230	-110	-66	-41	11
1700000002670	1914	-2237	-105	-77	-45	-5
1700000002680	1911	-2220	-107	-73	-36	5
1700000002690	1896	-2227	-111	-78	-35	-7
1700000002700	1909	-2229	-109	-69	-36	-16
1700000002710	1906	-2229	-110	-73	-40	-12
1700000002720	1910	-2236	-114	-81	-23	-7
1700000002730	1903	-2229	-110	-74	-48	-11
1700000002740	1908	-2234	-95	-61	-48	-14
1700000002750	1904	-2233	-107	-65	-32	-7
1700000002760	1894	-2227	-127	-75	-33	-7
1700000002770	1888	-2238	-113	-64	-47	-14
1700000002780	1896	-2221	-101	-66	-37	-1
1700000002790	1902	-2229	-117	-73	-38	-9
1700000002800	1895	-2233	-116	-75	-39	-1
1700000002810	1890	-2238	-113	-59	-48	-12
1700000002820	1906	-2229	-126	-75	-27	-4
1700000002830	1895	-2228	-122	-66	-44	-6
1700000002840	1887	-2234	-112	-75	-30	-5
1700000002850	1902	-2233	-99	-79	-34	-16
1700000002860	1895	-2233	-113	-67	-41	-8
1700000002870	1903	-2240	-111	-64	-31	-11
1700000002880	1893	-2230	-121	-73	-39	-3
1700000002890	1890	-2235	-114	-72	-49	-13
1700000002900	1886	-2229	-112	-77	-42	-13
1700000002910	1889	-2236	-113	-79	-48	-3
1700000002920	1891	-2242	-126	-82	-47	-11
1700000002930	1886	-2238	-108	-62	-42	-5
1700000002940	1896	-2241	-126	-68	-44	-4
1700000002950	1898	-2231	-113	-68	-44	-16
1700000002960	1896	-2246	-126	-57	-37	-15
1700000002970	1891	-2242	-119	-76	-41	-13
1700000002980	1887	-2238	-118	-76	-48	-23
1700000002990	1895	-2246	-120	-76	-34	-9
1700000003000	1879	-2243	-112	-74	-48	-12
1700000003010	1887	-2246	-121	-72	-45	-20
1700000003020	1893	-2246	-111	-70	-41	-18
1700000003030	1891	-2231	-119	-78	-39	-9
1700000003040	1893	-2245	-126	-81	-48	-6
1700000003050	1879	-2246	-126	-83	-39	-4
1700000003060	1894	-2235	-124	-85	-45	-13
1700000003070	1879	-2245	-125	-75	-41	-20
1700000003080	1880	-2234	-114	-79	-38	-23
1700000003090	1891	-2242	-133	-83	-42	-12
1700000003100	1884	-2230	-126	-53	-44	-16
1700000003110	1875	-2255	-131	-85	-41	-7
1700000003120	1879	-2228	-128	-69	-39	-17
1700000003130	1878	-2247	-133	-68	-37	-14
1700000003140	1889	-2230	-118	-70	-32	-16
1700000003150	1880	-2243	-136	-78	-50	-4
1700000003160	1874	-2255	-135	-80	-41	-10
1700000003170	1881	-2245	-125	-80	-61	-28
1700000003180	1879	-2241	-133	-83	-45	-11
1700000003190	1880	-2246	-127	-74	-37	-22
1700000003200	1885	-2239	-133	-77	-47	-14
1700000003210	1869	-2249	-140	-81	-48	-17
1700000003220	1871	-2244	-124	-79	-46	-14
1700000003230	1884	-2250	-134	-74	-34	-23
1700000003240	1882	-2249	-126	-81	-36	-14
1700000003250	1886	-2254	-128	-89	-43	-9
1700000003260	1879	-2253	-129	-74	-53	-13
1700000003270	1882	-2249	-126	-83	-42	-24
1700000003280	1874	-2248	-124	-78	-31	-16
1700000003290	1875	-2247	-124	-94	-46	-12
1700000003300	1883	-2255	-130	-83	-40	-16
1700000003310	1869	-2242	-129	-91	-46	-17
1700000003320	1877	-2252	-135	-87	-57	-20
1700000003330	1881	-2250	-123	-84	-37	-19
1700000003340	1871	-2254	-126	-84	-38	-12
1700000003350	1876	-2259	-133	-74	-43	-15
1700000003360	1876	-2253	-129	-86	-50	-21
1700000003370	1865	-2246	-137	-74	-55	-18
1700000003380	1879	-2244	-132	-77	-45	-10
1700000003390	1872	-2259	-127	-82	-48	-22
1700000003400	1879	-2247	-127	-97	-48	-17
1700000003410	1878	-2257	-128	-91	-34	-20
1700000003420	1877	-2253	-127	-83	-49	-8
1700000003430	1872	-2249	-131	-80	-51	-21
1700000003440	1865	-2265	-134	-85	-54	-8
1700000003450	1876	-2256	-128	-84	-42	-7
1700000003460	1871	-2255	-146	-83	-54	-19
1700000003470	1882	-2251	-132	-86	-49	-21
1700000003480	1863	-2257	-134	-74	-59	-16
1700000003490	1872	-2249	-126	-93	-52	-27
1700000003500	1872	-2256	-144	-87	-46	-9
1700000003510	1880	-2255	-133	-88	-51	-28
1700000003520	1860	-2250	-132	-77	-64	-17
1700000003530	1870	-2253	-142	-84	-47	-16
1700000003540	1876	-2253	-137	-86	-41	-11
1700000003550	1871	-2261	-136	-83	-51	-13
1700000003560	1877	-2254	-147	-84	-43	-18
1700000003570	1870	-2260	-151	-83	-59	-11
1700000003580	1865	-2257	-130	-82	-45	-17
1700000003590	1862	-2261	-137	-96	-54	-21
1700000003600	1885	-2252	-140	-92	-42	-19
1700000003610	1880	-2262	-135	-87	-56	-16
1700000003620	1879	-2262	-148	-86	-49	-11
1700000003630	1865	-2261	-144	-89	-55	-19
1700000003640	1867	-2258	-147	-85	-45	-20
1700000003650	1878	-2263	-136	-94	-47	-13
1700000003660	1869	-2255	-137	-94	-45	-21
1700000003670	1867	-2247	-138	-92	-59	-22
1700000003680	1860	-2260	-139	-98	-60	-18
1700000003690	1872	-2261	-139	-91	-51	-17
1700000003700	1865	-2259	-139	-86	-47	-18
1700000003710	1861	-2257	-147	-82	-40	0
1700000003720	1871	-2253	-149	-86	-50	-11
1700000003730	1874	-2264	-140	-99	-48	-12
1700000003740	1874	-2266	-142	-94	-55	-8
1700000003750	1873	-2266	-135	-92	-55	-15
1700000003760	1870	-2254	-153	-77	-51	-14
1700000003770	1874	-2256	-145	-90	-58	-23
1700000003780	1861	-2265	-145	-92	-58	-19
1700000003790	1873	-2260	-141	-90	-50	-21
1700000003800	1871	-2264	-154	-101	-50	-21
1700000003810	1884	-2260	-150	-89	-44	-18
1700000003820	1872	-2255	-155	-81	-50	-18
1700000003830	1864	-2262	-144	-93	-52	-12
1700000003840	1865	-2263	-150	-86	-52	-16
1700000003850	1876	-2260	-137	-89	-55	-21
1700000003860	1871	-2260	-145	-92	-57	-17
1700000003870	1873	-2261	-127	-92	-53	-14
1700000003880	1864	-2261	-142	-97	-38	-26
1700000003890	1866	-2262	-154	-93	-51	-22
1700000003900	1869	-2254	-143	-86	-49	-18
1700000003910	1875	-2259	-153	-89	-50	-15
1700000003920	1872	-2262	-132	-98	-53	-15
1700000003930	1868	-2266	-151	-79	-55	-13
1700000003940	1871	-2265	-149	-84	-63	-26
1700000003950	1869	-2259	-141	-86	-47	-25
1700000003960	1873	-2248	-135	-92	-46	-17
1700000003970	1867	-2260	-150	-97	-57	-28
1700000003980	1874	-2256	-144	-93	-52	-25
1700000003990	1872	-2246	-141	-90	-67	-20
1700000004000	1872	-2269	-157	-85	-52	-21
1700000004010	1865	-2262	-155	-85	-57	-19
1700000004020	1866	-2275	-145	-79	-57	-16
1700000004030	1877	-2256	-139	-90	-59	-12
1700000004040	1878	-2264	-154	-98	-50	-6
1700000004050	1871	-2263	-145	-77	-51	-13
1700000004060	1871	-2262	-143	-97	-64	-13
1700000004070	1878	-2258	-147	-91	-56	-11
1700000004080	1881	-2278	-155	-91	-50	-18
1700000004090	1881	-2260	-130	-99	-63	-23
1700000004100	1873	-2255	-155	-84	-62	-17
1700000004110	1882	-2253	-136	-103	-63	-13
1700000004120	1877	-2261	-144	-84	-54	-16
1700000004130	1887	-2261	-156	-94	-66	-23
1700000004140	1877	-2273	-144	-86	-37	-16
1700000004150	1875	-2255	-151	-100	-53	-12
1700000004160	1872	-2257	-141	-93	-59	-15
1700000004170	1875	-2260	-152	-88	-56	-23
1700000004180	1882	-2258	-151	-87	-65	-16
1700000004190	1879	-2254	-144	-90	-48	-23
1700000004200	1878	-2266	-156	-94	-60	-13
1700000004210	1882	-2261	-147	-78	-60	-13
1700000004220	1880	-2267	-155	-89	-55	-16
1700000004230	1876	-2256	-157	-86	-55	-16
1700000004240	1876	-2256	-148	-93	-66	-24
1700000004250	1878	-2255	-153	-87	-57	-15
1700000004260	1867	-2266	-142	-92	-53	-14
1700000004270	1873	-2254	-155	-83	-54	-16
1700000004280	1883	-2260	-151	-86	-45	-21
1700000004290	1867	-2268	-143	-88	-58	-8
1700000004300	1881	-2264	-148	-88	-59	-22
1700000004310	1874	-2256	-142	-87	-64	-19
1700000004320	1873	-2252	-148	-88	-61	-18
1700000004330	1881	-2255	-149	-83	-55	-23
1700000004340	1880	-2246	-151	-91	-61	-15
1700000004350	1884	-2264	-151	-92	-66	-18
1700000004360	1888	-2259	-144	-85	-64	-9
1700000004370	1877	-2264	-145	-94	-62	-17
1700000004380	1878	-2268	-147	-87	-58	-17
1700000004390	1879	-2259	-148	-78	-68	-11
1700000004400	1885	-2260	-156	-100	-50	-19
1700000004410	1874	-2257	-146	-85	-59	-7
1700000004420	1877	-2264	-148	-100	-63	-9
1700000004430	1888	-2255	-138	-93	-59	-8
1700000004440	1889	-2256	-154	-97	-67	-5
1700000004450	1898	-2260	-145	-86	-64	-11
1700000004460	1899	-2268	-156	-81	-51	-11
1700000004470	1890	-2258	-158	-88	-58	-25
1700000004480	1893	-2262	-155	-96	-63	-3
1700000004490	1893	-2245	-149	-83	-58	-18
1700000004500	1897	-2266	-144	-86	-59	-19
1700000004510	1887	-2248	-149	-85	-67	-12
1700000004520	1887	-2258	-152	-94	-62	-14
1700000004530	1896	-2257	-146	-90	-56	-20
1700000004540	1895	-2260	-142	-86	-62	-18
1700000004550	1893	-2257	-150	-84	-67	-15
1700000004560	1882	-2259	-143	-88	-59	-18
1700000004570	1888	-2254	-141	-90	-63	-7
1700000004580	1895	-2256	-147	-76	-56	-4
1700000004590	1898	-2258	-147	-81	-61	-17
1700000004600	1893	-2250	-127	-84	-66	-11
1700000004610	1898	-2245	-151	-84	-58	-13
1700000004620	1888	-2248	-149	-86	-54	-9
1700000004630	1897	-2250	-153	-86	-70	-10
1700000004640	1904	-2246	-139	-81	-65	-25
1700000004650	1902	-2255	-157	-93	-66	-17
1700000004660	1892	-2251	-145	-91	-59	-10
1700000004670	1893	-2251	-148	-93	-52	-3
1700000004680	1897	-2249	-151	-91	-58	-26
1700000004690	1902	-2249	-149	-89	-57	-12
1700000004700	1894	-2248	-138	-74	-65	-10
1700000004710	1909	-2247	-138	-81	-64	-7
1700000004720	1902	-2257	-145	-88	-63	-17
1700000004730	1906	-2254	-148	-70	-64	2
1700000004740	1905	-2246	-142	-87	-60	-20
1700000004750	1904	-2261	-143	-80	-63	-1
1700000004760	1898	-2249	-144	-83	-62	-7
1700000004770	1903	-2243	-140	-88	-61	-13
1700000004780	1911	-2242	-146	-92	-66	-17
1700000004790	1895	-2246	-143	-82	-65	-15
1700000004800	1908	-2240	-154	-67	-62	-9
1700000004810	1903	-2253	-149	-89	-55	-9
1700000004820	1908	-2260	-150	-78	-70	-21
1700000004830	1909	-2256	-138	-97	-57	-12
1700000004840	1906	-2248	-159	-90	-71	-5
1700000004850	1907	-2243	-140	-94	-62	-14
1700000004860	1912	-2244	-149	-85	-64	-7
1700000004870	1902	-2235	-141	-88	-71	-11
1700000004880	1913	-2236	-146	-84	-68	-4
1700000004890	1903	-2247	-147	-85	-69	-17
1700000004900	1912	-2251	-149	-84	-62	1
1700000004910	1914	-2249	-131	-77	-65	-12
1700000004920	1916	-2244	-144	-78	-70	1
1700000004930	1908	-2250	-150	-75	-71	-12
1700000004940	1903	-2250	-145	-72	-69	-17
1700000004950	1909	-2253	-134	-88	-57	-13
1700000004960	1906	-2239	-143	-78	-63	-8
1700000004970	1908	-2239	-140	-77	-74	-2
1700000004980	1925	-2242	-133	-91	-58	-15
1700000004990	1908	-2250	-140	-82	-61	-15
1700000005000	1913	-2247	-138	-76	-58	-1
1700000005010	1905	-2248	-136	-80	-56	-16
1700000005020	1922	-2244	-142	-66	-67	-4
1700000005030	1919	-2240	-135	-71	-69	-7
1700000005040	1918	-2239	-148	-85	-76	-13
1700000005050	1911	-2236	-137	-85	-60	-2
1700000005060	1916	-2237	-141	-89	-58	-12
1700000005070	1922	-2248	-135	-82	-62	-5
1700000005080	1929	-2239	-133	-89	-61	-3
1700000005090	1927	-2233	-128	-84	-59	-4
1700000005100	1925	-2237	-146	-83	-75	-8
1700000005110	1929	-2231	-137	-83	-54	-9
1700000005120	1924	-2246	-137	-80	-66	-7
1700000005130	1919	-2242	-136	-72	-67	-24
1700000005140	1920	-2241	-129	-85	-63	-8
1700000005150	1942	-2230	-139	-78	-72	-13
1700000005160	1927	-2229	-141	-69	-67	-9
1700000005170	1930	-2229	-137	-70	-72	-9
1700000005180	1926	-2244	-127	-92	-73	0
1700000005190	1918	-2229	-136	-79	-58	-13
1700000005200	1931	-2242	-121	-77	-73	5
1700000005210	1915	-2242	-134	-74	-67	0
1700000005220	1929	-2229	-140	-87	-55	-6
1700000005230	1932	-2235	-124	-77	-68	-12
1700000005240	1937	-2231	-138	-76	-69	-8
1700000005250	1931	-2238	-134	-78	-65	-5
1700000005260	1933	-2223	-118	-82	-61	-13
1700000005270	1933	-2244	-131	-76	-69	-4
1700000005280	1929	-2229	-129	-77	-67	-12
1700000005290	1932	-2232	-136	-79	-66	-2
1700000005300	1927	-2224	-120	-85	-64	3
1700000005310	1914	-2234	-133	-72	-65	11
1700000005320	1936	-2232	-130	-70	-68	-3
1700000005330	1928	-2229	-142	-71	-73	-3
1700000005340	1928	-2229	-130	-81	-59	-8
1700000005350	1928	-2212	-139	-81	-68	-10
1700000005360	1928	-2229	-121	-72	-79	1
1700000005370	1924	-2222	-135	-89	-71	-2
1700000005380	1942	-2249	-128	-78	-67	-3
1700000005390	1949	-2235	-132	-70	-70	-6
1700000005400	1955	-2231	-129	-67	-54	-6
1700000005410	1943	-2230	-130	-66	-67	3
1700000005420	1941	-2231	-137	-68	-62	-2
1700000005430	1935	-2226	-119	-77	-70	0
1700000005440	1941	-2208	-132	-80	-72	-4
1700000005450	1937	-2213	-130	-63	-63	-4
1700000005460	1944	-2219	-130	-70	-73	-2
1700000005470	1931	-2216	-122	-71	-65	10
1700000005480	1953	-2235	-127	-72	-62	1
1700000005490	1950	-2224	-118	-64	-70	12
1700000005500	1939	-2227	-116	-90	-70	-3
1700000005510	1931	-2227	-123	-84	-63	-2
1700000005520	1942	-2222	-141	-78	-79	-4
1700000005530	1946	-2223	-122	-70	-77	-5
1700000005540	1949	-2225	-118	-75	-72	2
1700000005550	1939	-2219	-124	-74	-63	2
1700000005560	1943	-2225	-112	-66	-68	-4
1700000005570	1943	-2220	-119	-73	-70	-10
1700000005580	1942	-2225	-123	-59	-66	-5
1700000005590	1950	-2221	-108	-54	-67	-2
1700000005600	1945	-2210	-121	-76	-62	11
1700000005610	1954	-2225	-114	-66	-70	4
1700000005620	1951	-2208	-114	-66	-60	17
1700000005630	1952	-2218	-116	-78	-61	-2
1700000005640	1940	-2219	-121	-59	-62	8
